age,area,district,floor,location,mode,price
2003,114,昌平,高层(共23层),新新公寓,2室1厅2卫,41140
1990,58,房山,高层(共6层),金水家园,2室1厅1卫,18103
1983,56,房山,共5层,迎风一里,2室1厅1卫,18750
2012,176,海淀,中层(共25层),橡树湾三期,3室2厅2卫,90909
2017,110,通州,中层(共27层),合景中心,3室2厅1卫,65000
2011,313,顺义,地下(共3层),中粮祥云,6室3厅6卫,67092
2012,85,昌平,中层(共28层),金隅观澜时代,2室1厅1卫,42352
2004,125,东城,低层(共12层),新裕家园,3室1厅2卫,106772
2007,39,西城,高层(共16层),荣丰2008,2室1厅2卫,148717
2010,66,朝阳,中层(共22层),首城国际中心,1室1厅1卫,89901
2017,80,北京周边,中层(共25层),潮白河孔雀城紫藤园,2室1厅1卫,14000
2014,96,大兴,高层(共8层),北京城建海梓府,3室3厅2卫,55208
2013,64,海淀,中层(共28层),八家嘉苑,1室2厅1卫,57812
2004,340,昌平,共4层,威尼斯花园,4室2厅3卫,35941
2006,89,顺义,中层(共6层),顺鑫澜庭,2室1厅1卫,29213
2006,116,顺义,共1层,裕龙花园一区,3室1厅1卫,40517
1995,65,海淀,中层(共6层),小南庄,2室1厅1卫,87985
2004,64,朝阳,低层(共11层),柏林爱乐(一期),1室1厅1卫,57320
2015,81,北京周边,中层(共23层),丽水康城,2室2厅1卫,7901
2015,81,北京周边,中层(共23层),丽水康城,2室2厅1卫,7901
2004,189,朝阳,中层(共25层),万豪国际公寓,3室2厅2卫,68783
2013,176,通州,中层(共26层),华业东方玫瑰,3室2厅2卫,50568
2008,95,密云,中层(共15层),柏林山水,2室2厅1卫,23157
1996,92,丰台,高层(共29层),芳城园一区,2室1厅1卫,60883
1992,51,顺义,共5层,胜利小区,2室1厅1卫,44220
2005,154,海淀,低层(共9层),百旺茉莉园(一期),3室2厅2卫,87192
2010,92,房山,低层(共10层),原香小镇(一区),3室1厅1卫,39926
2015,185,丰台,中层(共6层),领秀翡翠山,4室2厅2卫,44324
2005,214,海淀,中层(共15层),西屋国际公寓,3室2厅2卫,63084
2005,58,通州,低层(共18层),泉蔷佳苑,1室1厅1卫,47946
2005,82,房山,中层(共15层),嘉瑞通小区,2室1厅1卫,33216
1992,92,昌平,高层(共6层),水关新村,2室2厅1卫,34782
2006,241,密云,地下(共4层),鸿福天地,4室3厅4卫,24896
1982,53,朝阳,低层(共6层),和平里七区,2室1厅1卫,102688
2006,283,朝阳,低层(共9层),阳光上东,4室1厅4卫,75885
2010,1100,顺义,共1层,丽宫别墅,6室5厅5卫,65454
2005,92,石景山,中层(共18层),西引力,2室1厅1卫,52932
2000,69,西城,低层(共10层),三里河一区2号院,2室0厅0卫,139914
